N;educ;south;nonwhite;female;married;exper;union;lwage;age;year;y85
1035;11;0;0;0;1;4;0;1.4231;21;85;1
1036;12;0;0;1;1;5;0;1.6351;23;85;1
1037;8;0;0;1;1;38;0;1.6601;52;85;1
1038;16;0;0;1;1;6;0;2.0513;28;85;1
1039;13;0;0;0;0;9;1;2.5703;28;85;1
1040;13;0;0;1;1;15;0;2.0794;34;85;1
1041;15;0;0;1;1;11;0;2.0369;32;85;1
1042;12;0;0;0;0;17;0;2.0149;35;85;1
1043;12;0;0;0;0;1;0;1.0473;19;85;1
1044;12;0;0;0;1;9;0;1.8506;27;85;1
1045;9;0;0;0;0;48;0;1.2528;63;85;1
1046;12;0;0;0;1;17;1;2.4292;35;85;1
1047;12;0;0;1;1;33;0;1.7047;51;85;1
1048;12;0;0;0;1;7;0;2.2138;25;85;1
1049;14;0;0;1;1;12;0;2.0744;32;85;1
1050;16;0;0;1;1;6;0;1.7317;28;85;1
1051;4;0;0;0;1;54;0;1.7918;64;85;1
1052;16;1;1;0;0;16;0;2.599;38;85;1
1053;11;1;0;1;1;8;0;1.2947;25;85;1
1054;9;1;0;0;0;30;1;1.8326;45;85;1
1055;13;1;0;0;0;1;1;1.639;20;85;1
1056;17;1;0;0;1;32;0;3.2692;55;85;1
1057;13;1;0;0;0;0;0;0.6981;19;85;1
1058;12;1;0;1;0;26;0;1.6094;44;85;1
1059;11;0;0;1;0;36;0;2.1691;53;85;1
1060;14;0;0;1;1;19;0;2.5257;39;85;1
1061;12;0;0;0;0;12;0;1.3863;30;85;1
1062;16;0;0;0;1;21;0;1.5041;43;85;1
1063;12;0;0;1;0;11;0;1.8718;29;85;1
1064;12;0;0;0;1;10;0;1.7047;28;85;1
1065;17;0;0;1;1;15;0;1.9279;38;85;1
1066;16;0;0;1;0;16;0;1.8165;38;85;1
1067;12;0;0;0;1;23;0;2.0513;41;85;1
1068;12;0;0;0;1;24;0;0;42;85;1
1069;17;0;0;1;1;13;1;2.5257;36;85;1
1070;14;0;1;1;1;19;1;2.1804;39;85;1
1071;11;0;0;1;1;20;0;1.4702;37;85;1
1072;18;0;0;0;0;5;0;2.4304;29;85;1
1073;8;0;0;0;1;47;1;2.1894;61;85;1
1074;11;0;0;1;1;33;0;1.2528;50;85;1
1075;14;0;0;0;1;21;1;3.2581;41;85;1
1076;12;0;0;1;1;19;0;2.0794;37;85;1
1077;14;0;0;0;1;20;1;2.7726;40;85;1
1078;12;0;0;1;1;13;0;1.6771;31;85;1
1079;17;0;1;1;1;25;1;3.1463;48;85;1
1080;12;0;1;1;1;18;0;2.1552;36;85;1
1081;14;0;0;1;0;13;0;2.9178;33;85;1
1082;18;0;0;0;1;8;0;3.1001;32;85;1
1083;12;0;1;0;0;14;1;2.7887;32;85;1
1084;12;0;0;0;0;9;0;2.9689;27;85;1
